YEAR,incgroup,ln_RLABINC,log_div_t,y_gt,dy_gt,t_index
1991,Group4,10.584846898473243,1.2197818318507236,9.36506506662252,-0.007978538452913853,15
1992,Group4,10.59196448880178,1.2201386325999983,9.371825856201783,0.006760789579262294,16
1993,Group4,10.60395007109785,1.2195122696693004,9.38443780142855,0.012611945226767673,17
1994,Group4,10.594470905335866,1.222838575736288,9.371632329599578,-0.012805471828972514,18
1995,Group4,10.61643357137172,1.2225242361934225,9.393909335178298,0.022277005578720477,19
1996,Group4,10.600090462699672,1.2170842674658826,9.38300619523379,-0.010903139944508311,20
1997,Group4,10.604568243718344,1.2134048492314777,9.391163394486867,0.008157199253076897,21
1998,Group4,10.62254209214282,1.2148068613909997,9.407735230751822,0.016571836264954953,22
1999,Group4,10.65982963173189,1.209194232960751,9.450635398771139,0.042900168019317064,23
2000,Group4,10.659259969048378,1.1912058542399875,9.46805411480839,0.01741871603725187,24
2001,Group4,10.66840130762638,1.179389015885697,9.489012291740684,0.02095817693229307,25
2002,Group4,10.686408334581008,1.1824217119160807,9.503986622664927,0.014974330924243162,26
2003,Group4,10.680590911472455,1.1812101589056503,9.499380752566806,-0.004605870098121301,27
2004,Group4,10.718716485511504,1.1750403774200744,9.543676108091429,0.04429535552462305,28
2005,Group4,10.689341375613528,1.1625476249962878,9.52679375061724,-0.01688235747418787,29
2006,Group4,10.66444548184381,1.1522893537193124,9.512156128124497,-0.014637622492744029,30
2007,Group4,10.673349898689304,1.1457453087669454,9.527604589922358,0.015448461797861412,31
2008,Group4,10.681338385295287,1.1349124980441936,9.546425887251093,0.018821297328734943,32
2009,Group4,10.69113043805407,1.1674502485896212,9.52368018946445,-0.02274569778664315,33
2010,Group4,10.67829605431841,1.1754310188003922,9.502865035518019,-0.02081515394643141,34
2011,Group4,10.669219623150443,1.168560883711804,9.50065873943864,-0.0022062960793789443,35
2012,Group4,10.665597075483731,1.1758272096799174,9.489769865803813,-0.010888873634826268,36
2013,Group4,10.669942723375067,1.1854779952942271,9.484464728080841,-0.005305137722972475,37
2014,Group4,10.66542155460055,1.192930072706674,9.472491481893876,-0.01197324618696527,38
2015,Group4,10.716441247502644,1.2165216211685692,9.499919626334075,0.02742814444019892,39
2016,Group4,10.709493195110134,1.2303730093728262,9.479120185737308,-0.020799440596766416,40
2017,Group4,10.729513786943611,1.2339158220643678,9.495597964879243,0.016477779141935045,41
2018,Group4,10.720268199954068,1.2346616536316373,9.485606546322431,-0.009991418556811738,42
2019,Group4,10.7262674643011,1.2421184175988096,9.48414904670229,-0.0014574996201410784,43
2020,Group4,10.793286164711915,1.2545785822752078,9.538707582436707,0.054558535734416935,44
2021,Group4,10.763964891568882,1.2287628673245719,9.53520202424431,-0.0035055581923977286,45
2022,Group4,10.714648002997407,1.1748738079692054,9.539774195028201,0.004572170783891494,46
2023,Group4,10.743222089575918,1.1583124075511855,9.584909682024731,0.04513548699653036,47
2024,Group4,10.758037945921464,1.1504155426346838,9.60762240328678,0.022712721262047708,48
1976,Group5,10.89123302324729,1.4212370746354555,9.469995948611835,,0
1977,Group5,10.893976021364844,1.4053358662308209,9.488640155134023,0.0186442065221879,1
1978,Group5,10.893736301674554,1.3837051287150068,9.510031172959547,0.02139101782552366,2
1979,Group5,10.893192327331509,1.3309802715109509,9.562212055820558,0.05218088286101086,3
1980,Group5,10.820271428986912,1.25467755327468,9.565593875712231,0.003381819891673743,4
1981,Group5,10.817551309323427,1.2069414761214812,9.610609833201947,0.04501595748971532,5
1982,Group5,10.826214743768348,1.204709191447922,9.621505552320427,0.010895719118479974,6
1983,Group5,10.84614445304368,1.21744439668358,9.628700056360099,0.007194504039672367,7
1984,Group5,10.86202429188733,1.2223164776253483,9.639707814261982,0.011007757901882798,8
1985,Group5,10.903918962222466,1.2301418082165847,9.673777154005881,0.03406933974389936,9
1986,Group5,10.919308410186472,1.2488721789288717,9.6704362312576,-0.0033409227482810167,10
1987,Group5,10.920740167936584,1.2475973177244526,9.673142850212132,0.0027066189545319475,11
1988,Group5,10.921714589491868,1.2513135123982402,9.670401077093628,-0.0027417731185046534,12
1989,Group5,10.923824297595903,1.242204190431449,9.681620107164454,0.011219030070826363,13
1990,Group5,10.909296305528688,1.228032708537962,9.681263596990727,-0.0003565101737272869,14
1991,Group5,10.885650204713022,1.2197818318507236,9.665868372862299,-0.015395224128427643,15
1992,Group5,10.899564048755984,1.2201386325999983,9.679425416155986,0.013557043293687343,16
1993,Group5,10.90397530005175,1.2195122696693004,9.68446303038245,0.005037614226463205,17
1994,Group5,10.9034527613979,1.222838575736288,9.680614185661613,-0.003848844720836908,18
1995,Group5,10.914287874216267,1.2225242361934225,9.691763638022845,0.011149452361232548,19
1996,Group5,10.910429801813422,1.2170842674658826,9.69334553434754,0.0015818963246942985,20
1997,Group5,10.936307370751496,1.2134048492314777,9.72290252152002,0.02955698717248012,21
1998,Group5,10.949627707830382,1.2148068613909997,9.734820846439384,0.011918324919363954,22
1999,Group5,10.993255025764416,1.209194232960751,9.784060792803665,0.049239946364281195,23
2000,Group5,10.999811742712083,1.1912058542399875,9.808605888472096,0.024545095668431216,24
2001,Group5,11.011379403807402,1.179389015885697,9.831990387921705,0.023384499449608853,25
2002,Group5,11.035962592167731,1.1824217119160807,9.85354088025165,0.021550492329945214,26
2003,Group5,11.03208109843772,1.1812101589056503,9.85087093953207,-0.0026699407195796,27
2004,Group5,11.066040369759357,1.1750403774200744,9.890999992339282,0.04012905280721135,28
2005,Group5,11.034617613354214,1.1625476249962878,9.872069988357927,-0.018930003981354915,29
2006,Group5,11.01288326145989,1.1522893537193124,9.860593907740578,-0.011476080617349282,30
2007,Group5,11.021764602239976,1.1457453087669454,9.87601929347303,0.015425385732452668,31
2008,Group5,11.022165116682574,1.1349124980441936,9.88725261863838,0.011233325165349584,32
2009,Group5,11.035384083083953,1.1674502485896212,9.867933834494332,-0.01931878414404764,33
2010,Group5,11.02926055486677,1.1754310188003922,9.853829536066378,-0.01410429842795402,34
2011,Group5,11.036161516992136,1.168560883711804,9.867600633280333,0.01377109721395442,35
2012,Group5,11.05507565910968,1.1758272096799174,9.879248449429761,0.011647816149428891,36
2013,Group5,11.05355856319176,1.1854779952942271,9.868080567897533,-0.011167881532228918,37
2014,Group5,11.04357084243537,1.192930072706674,9.850640769728695,-0.01743979816883723,38
2015,Group5,11.064971818228637,1.2165216211685692,9.848450197060068,-0.002190572668627766,39
2016,Group5,11.072249152686748,1.2303730093728262,9.841876143313922,-0.006574053746145836,40
2017,Group5,11.101012220751066,1.2339158220643678,9.867096398686698,0.02522025537277628,41
2018,Group5,11.091319162937545,1.2346616536316373,9.856657509305908,-0.010438889380790073,42
2019,Group5,11.111722565388645,1.2421184175988096,9.869604147789834,0.01294663848392652,43
2020,Group5,11.130727788810251,1.2545785822752078,9.876149206535043,0.0065450587452087206,44
2021,Group5,11.127328958434305,1.2287628673245719,9.898566091109732,0.022416884574688822,45
2022,Group5,11.082232807532389,1.1748738079692054,9.907358999563183,0.00879290845345082,46
2023,Group5,11.11912158008127,1.1583124075511855,9.960809172530084,0.05345017296690102,47
2024,Group5,11.140447635116097,1.1504155426346838,9.990032092481412,0.029222919951328308,48
1976,Group6,11.135013847063568,1.4212370746354555,9.713776772428114,,0
1977,Group6,11.110738231527856,1.4053358662308209,9.705402365297035,-0.008374407131078954,1
1978,Group6,11.11919493305152,1.3837051287150068,9.735489804336513,0.030087439039478525,2
1979,Group6,11.098471148725668,1.3309802715109509,9.767490877214717,0.032001072878204084,3
1980,Group6,11.04799957654505,1.25467755327468,9.79332202327037,0.025831146055653065,4
1981,Group6,11.050525023861365,1.2069414761214812,9.843583547739884,0.05026152446951393,5
1982,Group6,11.05605288301274,1.204709191447922,9.851343691564818,0.0077601438249335075,6
1983,Group6,11.086447792216587,1.21744439668358,9.869003395533007,0.017659703968188722,7
1984,Group6,11.094511168283088,1.2223164776253483,9.87219469065774,0.003191295124732818,8
1985,Group6,11.12045259669086,1.2301418082165847,9.890310788474276,0.018116097816536225,9
1986,Group6,11.175500816503664,1.2488721789288717,9.926628637574792,0.0363178491005165,10
1987,Group6,11.159836608368725,1.2475973177244526,9.912239290644273,-0.014389346930519409,11
1988,Group6,11.154938391531935,1.2513135123982402,9.903624879133694,-0.00861441151057818,12
1989,Group6,11.15648656499193,1.242204190431449,9.91428237456048,0.010657495426785957,13
1990,Group6,11.160175634806812,1.228032708537962,9.93214292626885,0.01786055170837031,14
1991,Group6,11.126235263570427,1.2197818318507236,9.906453431719704,-0.025689494549146374,15
1992,Group6,11.140406152115045,1.2201386325999983,9.920267519515047,0.013814087795342544,16
1993,Group6,11.137938711581096,1.2195122696693004,9.918426441911796,-0.001841077603250696,17
1994,Group6,11.171877149720784,1.222838575736288,9.949038573984495,0.030612132072699083,18
1995,Group6,11.198129106074974,1.2225242361934225,9.975604869881552,0.026566295897056946,19
1996,Group6,11.184046553463045,1.2170842674658826,9.966962285997162,-0.008642583884389765,20
1997,Group6,11.206215715628952,1.2134048492314777,9.992810866397473,0.025848580400310794,21
1998,Group6,11.23107578129845,1.2148068613909997,10.01626891990745,0.02345805350997665,22
1999,Group6,11.249423468169628,1.209194232960751,10.040229235208876,0.023960315301426505,23
2000,Group6,11.28235035298498,1.1912058542399875,10.091144498744992,0.05091526353611542,24
2001,Group6,11.29158746675401,1.179389015885697,10.112198450868313,0.02105395212332084,25
2002,Group6,11.335947799472123,1.1824217119160807,10.153526087556042,0.0413276366877291,26
2003,Group6,11.325252595159828,1.1812101589056503,10.144042436254178,-0.00948365130186346,27
2004,Group6,11.33736479910205,1.1750403774200744,10.162324421681975,0.018281985427796243,28
2005,Group6,11.309821061082202,1.1625476249962878,10.147273436085914,-0.015050985596060329,29
2006,Group6,11.315139716560637,1.1522893537193124,10.162850362841324,0.01557692675540956,30
2007,Group6,11.323672213882215,1.1457453087669454,10.17792690511527,0.015076542273945392,31
2008,Group6,11.325662907745158,1.1349124980441936,10.190750409700964,0.012823504585695034,32
2009,Group6,11.329672563729192,1.1674502485896212,10.162222315139571,-0.028528094561393047,33
2010,Group6,11.321836805627182,1.1754310188003922,10.14640578682679,-0.01581652831278113,34
2011,Group6,11.31491935319062,1.168560883711804,10.146358469478816,-4.7317347974029644e-05,35
2012,Group6,11.369014497301192,1.1758272096799174,10.193187287621274,0.04682881814245832,36
2013,Group6,11.351720685538035,1.1854779952942271,10.16624269024381,-0.02694459737746513,37
2014,Group6,11.335725582854147,1.192930072706674,10.142795510147472,-0.02344718009633695,38
