YEAR,incgroup,y_t,Dy_t,Dy_t_lag1,Dy_t_lag2,log_div_t,ln_RLABINC_t
2014,Top10,10.325071567684095,-0.033084699516660265,-0.02569152567825128,0.057425883220597385,1.192930072706674,11.518001640390768
2015,Top10,10.327903059559077,0.002831491874982106,-0.033084699516660265,-0.02569152567825128,1.2165216211685692,11.544424680727646
2016,Top10,10.339356193144358,0.011453133585280995,0.002831491874982106,-0.033084699516660265,1.2303730093728262,11.569729202517184
2017,Top10,10.36118393066391,0.021827737519553025,0.011453133585280995,0.002831491874982106,1.2339158220643678,11.595099752728279
2018,Top10,10.35802298990734,-0.003160940756570696,0.021827737519553025,0.011453133585280995,1.2346616536316373,11.592684643538977
2019,Top10,10.392783227168145,0.03476023726080513,-0.003160940756570696,0.021827737519553025,1.2421184175988096,11.634901644766956
2020,Top10,10.376086338955565,-0.01669688821258042,0.03476023726080513,-0.003160940756570696,1.2545785822752078,11.630664921230773
2021,Top10,10.399286907140581,0.02320056818501648,-0.01669688821258042,0.03476023726080513,1.2287628673245719,11.628049774465152
2022,Top10,10.420560912476818,0.021274005336236357,0.02320056818501648,-0.01669688821258042,1.1748738079692054,11.595434720446024
2023,Top10,10.460044031694144,0.03948311921732639,0.021274005336236357,0.02320056818501648,1.1583124075511855,11.61835643924533
2024,Top10,10.505653943119915,0.04560991142577109,0.03948311921732639,0.021274005336236357,1.1504155426346838,11.6560694857546
1979,Top1,10.625770154635806,0.0177434626488715,0.11077520251828332,-0.030272964448430528,1.3309802715109509,11.956750426146757
1980,Top1,10.54245673099808,-0.0833134236377262,0.0177434626488715,0.11077520251828332,1.25467755327468,11.79713428427276
1981,Top1,10.468210960869518,-0.07424577012856126,-0.0833134236377262,0.0177434626488715,1.2069414761214812,11.675152436990999
1982,Top1,10.608492195775504,0.1402812349059861,-0.07424577012856126,-0.0833134236377262,1.204709191447922,11.813201387223426
1983,Top1,10.784578402328417,0.17608620655291318,0.1402812349059861,-0.07424577012856126,1.21744439668358,12.002022799011998
1984,Top1,10.746162294315583,-0.038416108012834016,0.17608620655291318,0.1402812349059861,1.2223164776253483,11.968478771940932
1985,Top1,10.722207985237187,-0.023954309078396463,-0.038416108012834016,0.17608620655291318,1.2301418082165847,11.952349793453772
1986,Top1,10.704892845160035,-0.017315140077151625,-0.023954309078396463,-0.038416108012834016,1.2488721789288717,11.953765024088908
1987,Top1,10.689478686131507,-0.015414159028528829,-0.017315140077151625,-0.023954309078396463,1.2475973177244526,11.937076003855958
1988,Top1,10.659290066072382,-0.030188620059124815,-0.015414159028528829,-0.017315140077151625,1.2513135123982402,11.910603578470623
1989,Top1,10.734793677442832,0.07550361137045059,-0.030188620059124815,-0.015414159028528829,1.242204190431449,11.976997867874282
1990,Top1,10.742905196009854,0.008111518567021747,0.07550361137045059,-0.030188620059124815,1.228032708537962,11.970937904547815
1991,Top1,10.693574272243417,-0.049330923766436996,0.008111518567021747,0.07550361137045059,1.2197818318507236,11.91335610409414
1992,Top1,10.671625531067484,-0.02194874117593315,-0.049330923766436996,0.008111518567021747,1.2201386325999983,11.891764163667482
1993,Top1,10.66701249159491,-0.004613039472573632,-0.02194874117593315,-0.049330923766436996,1.2195122696693004,11.88652476126421
1994,Top1,10.636323412676253,-0.03068907891865713,-0.004613039472573632,-0.02194874117593315,1.222838575736288,11.859161988412541
1995,Top1,10.630547049682754,-0.005776362993499262,-0.03068907891865713,-0.004613039472573632,1.2225242361934225,11.853071285876176
1996,Top1,11.460615042885786,0.8300679932030324,-0.005776362993499262,-0.03068907891865713,1.2170842674658826,12.677699310351668
1997,Top1,11.552264576716961,0.09164953383117513,0.8300679932030324,-0.005776362993499262,1.2134048492314777,12.765669425948438
1998,Top1,11.557349809684883,0.005085232967921627,0.09164953383117513,0.8300679932030324,1.2148068613909997,12.772156671075884
1999,Top1,11.660434240338054,0.10308443065317086,0.005085232967921627,0.09164953383117513,1.209194232960751,12.869628473298805
2000,Top1,11.326184330660743,-0.33424990967731105,0.10308443065317086,0.005085232967921627,1.1912058542399875,12.51739018490073
2001,Top1,11.61445297394792,0.28826864328717683,-0.33424990967731105,0.10308443065317086,1.179389015885697,12.793841989833616
2002,Top1,11.567568159259908,-0.046884814688011645,0.28826864328717683,-0.33424990967731105,1.1824217119160807,12.74998987117599
2003,Top1,11.677142653294865,0.10957449403495723,-0.046884814688011645,0.28826864328717683,1.1812101589056503,12.858352812200515
2004,Top1,11.617216044013102,-0.05992660928176363,0.10957449403495723,-0.046884814688011645,1.1750403774200744,12.792256421433176
2005,Top1,11.678455520335525,0.06123947632242377,-0.05992660928176363,0.10957449403495723,1.1625476249962878,12.841003145331813
2006,Top1,11.657667741190295,-0.020787779145230445,0.06123947632242377,-0.05992660928176363,1.1522893537193124,12.809957094909608
2007,Top1,11.695127135020657,0.03745939383036223,-0.020787779145230445,0.06123947632242377,1.1457453087669454,12.840872443787603
2008,Top1,11.617653951389745,-0.0774731836309126,0.03745939383036223,-0.020787779145230445,1.1349124980441936,12.752566449433939
2009,Top1,11.584709863088602,-0.032944088301142926,-0.0774731836309126,0.03745939383036223,1.1674502485896212,12.752160111678222
2010,Top1,11.582257059394067,-0.002452803694534822,-0.032944088301142926,-0.0774731836309126,1.1754310188003922,12.757688078194459
2011,Top1,11.495916010399535,-0.08634104899453199,-0.002452803694534822,-0.032944088301142926,1.168560883711804,12.664476894111338
2012,Top1,11.544932138876673,0.04901612847713821,-0.08634104899453199,-0.002452803694534822,1.1758272096799174,12.72075934855659
2013,Top1,11.53162070912487,-0.013311429751803772,0.04901612847713821,-0.08634104899453199,1.1854779952942271,12.717098704419096
2014,Top1,11.526148081588836,-0.005472627536033059,-0.013311429751803772,0.04901612847713821,1.192930072706674,12.71907815429551
2015,Top1,11.510920249272692,-0.01522783231614433,-0.005472627536033059,-0.013311429751803772,1.2165216211685692,12.727441870441261
2016,Top1,11.629361886518861,0.1184416372461694,-0.01522783231614433,-0.005472627536033059,1.2303730093728262,12.859734895891688
2017,Top1,11.61216844609605,-0.01719344042281179,0.1184416372461694,-0.01522783231614433,1.2339158220643678,12.846084268160418
2018,Top1,11.597020584505593,-0.015147861590456557,-0.01719344042281179,0.1184416372461694,1.2346616536316373,12.83168223813723
2019,Top1,11.595377315593861,-0.0016432689117316102,-0.015147861590456557,-0.01719344042281179,1.2421184175988096,12.837495733192672
2020,Top1,11.661308083259115,0.06593076766525385,-0.0016432689117316102,-0.015147861590456557,1.2545785822752078,12.915886665534323
2021,Top1,11.602324045494274,-0.058984037764840735,0.06593076766525385,-0.0016432689117316102,1.2287628673245719,12.831086912818847
2022,Top1,11.659389049006828,0.0570650035125535,-0.058984037764840735,0.06593076766525385,1.1748738079692054,12.834262856976034
2023,Top1,11.721359939377985,0.061970890371156884,0.0570650035125535,-0.058984037764840735,1.1583124075511855,12.879672346929171
2024,Top1,11.65406943079882,-0.06729050857916441,0.061970890371156884,0.0570650035125535,1.1504155426346838,12.804484973433505
